date,datatype,station,attributes,value
2013-08-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.59
2013-08-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0715",0.64
2013-08-06T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.31
2013-08-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0630",0.17
2013-08-11T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.31
2013-08-12T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.2
2013-08-14T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-15T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-16T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-17T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-18T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-19T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-20T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-21T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-22T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-23T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.14
2013-08-24T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-25T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.02
2013-08-26T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.01
2013-08-27T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.02
2013-08-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-29T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-30T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-08-31T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.04
2013-09-01T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-02T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-03T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-06T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-07T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0730",0.0
2013-09-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-11T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",1.61
2013-09-12T00:00:00,PRCP,GHCND:US1COAR0246,",,N,1145",5.71
2013-09-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0710",0.76
2013-09-14T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.58
2013-09-15T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",1.86
2013-09-16T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",1.58
2013-09-17T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-18T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-19T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0730",0.0
2013-09-20T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-21T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-22T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-23T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",1.37
2013-09-24T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-09-25T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-26T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-09-27T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-09-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0815",0.21
2013-09-29T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-09-30T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-10-01T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-02T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-03T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.22
2013-10-04T00:00:00,WESD,GHCND:US1COAR0246,",,N,0830",0.2
2013-10-04T00:00:00,WESF,GHCND:US1COAR0246,",,N,0830",0.2
2013-10-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-06T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-07T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-11T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0730",0.0
2013-10-12T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0730",0.0
2013-10-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-14T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2013-10-15T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.07
2013-10-17T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-10-18T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-10-19T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.21
2013-10-19T00:00:00,WESD,GHCND:US1COAR0246,",,N,0730",0.2
2013-10-19T00:00:00,WESF,GHCND:US1COAR0246,",,N,0730",0.2
2013-10-22T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0840",0.02
2013-10-23T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-10-24T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-10-25T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-10-26T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-10-27T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-10-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-10-29T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0900",0.0
2013-10-30T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0845",0.03
2013-10-31T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.02
2013-11-01T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-11-02T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-11-03T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-11-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-11-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-11-06T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-11-07T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-11-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-11-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0745",0.0
2013-11-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-11-11T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-11-12T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-11-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-11-14T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-11-15T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-11-16T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-11-17T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-11-18T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-11-19T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-11-20T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-11-21T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.15
2013-11-21T00:00:00,WESD,GHCND:US1COAR0246,",,N,0830",0.1
2013-11-21T00:00:00,WESF,GHCND:US1COAR0246,",,N,0830",0.1
2013-11-22T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0900",0.0
2013-11-22T00:00:00,WESD,GHCND:US1COAR0246,",,N,0900",0.1
2013-11-22T00:00:00,WESF,GHCND:US1COAR0246,"T,,N,0900",0.0
2013-11-23T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-11-23T00:00:00,WESF,GHCND:US1COAR0246,",,N,0900",0.0
2013-11-24T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-11-26T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0900",0.0
